#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Enter Sandman","Metallica",19,123,"metal, thrash metal, rock, heavy metal, hard rock","Rock, Metal","Metallica",1991-08-12,05:31,58,83,0,1,60,0,0,-9,F#/G♭ minor,4,2025-11-16,5sICkBXVmaCQk5aISGR3x1,"Blackened Recordings / Universal Music",11A,GBF089190013
2,"Thunderstruck","AC/DC",86,134,"rock, hard rock, classic rock, rock and roll","Rock","The Razors Edge",1990-09-24,04:52,50,89,0,1,26,0,20,-5,E,4,2025-11-16,57bgtoPSgt236HzfBOd8kj,"Columbia",12B,AUAP09000014
3,"Speed","Atari Teenage Riot",49,165,"hardcore techno, industrial, breakcore, industrial metal","Electronic, Rock, Metal","The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)",2006-06-20,02:48,41,91,0,2,50,0,10,-5,E minor,4,2025-11-16,5EbTHYIQQtNNMloPNirkKi,"Universal (MT)",9A,GBBXA9500022
4,"Tokyo Drift (Fast & Furious) - From  The Fast And The Furious: Tokyo Drift  Soundtrack","Teriyaki Boyz",74,127,"","","Tokyo Drift (Fast & Furious)",2006-01-01,04:15,76,89,18,0,94,10,0,-5,F#/G♭,4,2025-11-16,0upFohXrGxIIAjyaJmCkMU,"Universal (MT)",2B,USUG10600159
5,"Dirty Deeds Done Dirt Cheap - Original Australian Release","AC/DC",31,135,"rock, hard rock, classic rock, rock and roll","Rock","Backtracks",2009-11-10,04:10,64,92,21,0,39,10,10,-5,B minor,4,2025-11-16,4Kqmo5fHocP1zyjBdppjkJ,"Columbia/Legacy",10A,AUAP07600070
6,"Bring Me To Life","Evanescence",88,95,"alternative metal","Metal, Rock","Fallen",2003-03-04,03:55,33,94,1,0,30,0,20,-3,E minor,4,2025-11-16,0COqiPhxzoWICwFCS4eZcp,"The Bicycle Music Company",9A,USWU30200093
7,"115","Elena Siegman, Kevin Sherwood",66,200,"","","Call of Duty: Black Ops – Zombies (Original Game Soundtrack)",2011-01-25,03:48,36,93,0,0,68,10,10,-4,G#/A♭,4,2025-11-16,725NSbIej5lP3GfhLC7So3,"Activision",4B,USZXT1061478
8,"Beauty Of Annihilation","Elena Siegman, Kevin Sherwood",60,110,"","","Call of Duty: Black Ops – Zombies (Original Game Soundtrack)",2011-01-25,04:28,54,90,0,2,46,0,20,-5,G,4,2025-11-16,05XukYTsS9JIrzxNeQt05B,"Activision",9B,USZXT1061471
9,"Fortunate Son","Creedence Clearwater Revival",82,133,"classic rock, southern rock, country rock","Rock, Country","Willy And The Poor Boys (Expanded Edition)",1969-11-02,02:20,64,66,20,1,66,0,10,-8,C,4,2025-11-16,4BP3uh0hFLFRb5cjsgLqDh,"Craft Recordings",8B,USC4R0817618
10,"Master Of Puppets","Metallica",79,105,"metal, thrash metal, rock, heavy metal, hard rock","Rock, Metal","Master Of Puppets (Remastered)",1986-03-03,08:35,54,84,0,43,56,0,10,-9,E minor,4,2025-11-16,2MuWTIM3b0YEAskbeeFE1i,"Blackened Recordings / Universal Music",9A,QMKHM1600219
11,"The One","Elena Siegman, Kevin Sherwood",54,180,"","","Call of Duty: Black Ops – Zombies (Original Game Soundtrack)",2011-01-25,04:51,37,81,1,0,30,0,10,-5,A#/B♭,4,2025-11-16,5LcuhvZlZK1k1OYarrt177,"Activision",6B,USZXT1061469
12,"In the End","Linkin Park",89,105,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Hybrid Theory (Bonus Edition)",2000-10-24,03:36,56,86,1,0,40,0,20,-6,D#/E♭ minor,4,2025-11-16,60a0Rd6pjrkxjPbaKzXjfq,"Warner Records",2A,USWB10002407
13,"Paranoid - 2009 Remaster","Black Sabbath",80,163,"metal, heavy metal, rock, stoner rock, doom metal, hard rock","Metal, Rock","Paranoid",1970-09-18,02:47,42,69,0,1,33,0,10,-10,E minor,4,2025-11-16,3Jnxngdff0lVu2rza1GVx6,"Sanctuary Records",9A,GBAJE7000057
14,"Faint","Linkin Park",83,135,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Meteora",2003-03-25,02:42,55,98,13,0,61,10,0,-4,E,4,2025-11-16,4Yf5bqU3NK4kNOypcrLYwU,"Warner Records",12B,USWB10300468
15,"Abracadavre","Kevin Sherwood, Elena Siegman",55,180,"","","Origins (Original Game Soundtrack)",2013-09-03,06:05,46,91,0,0,18,20,40,-5,D minor,4,2025-11-16,2dNgGUpX6VSdHmNGKSPQzE,"Activision",7A,USA2P1347131
16,"psychology","Adust Rain",30,153,"j-rock","Rock","Extra Stream",2018-10-14,03:36,52,99,1,0,32,20,30,-2,B minor,4,2025-11-16,6ebeo114XOKSxdsamVjKYh,"東方同人音楽流通",10A,JPW562110061
17,"Blue Moon - 1999 Remastered","Frank Sinatra",61,114,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Easy Listening, Jazz, Pop","Sinatra's Swingin' Session!!! And More (Remastered / Expanded Edition)",1961-00-00,02:51,64,16,53,0,74,0,10,-17,C♯/D♭,4,2025-11-16,5RLzsVW6UNiV2YrOlKwzNN,"Capitol Records",3B,USCA29800168
18,"Atom Bomb Baby","The Five Stars",45,80,"moroccan chaabi","Folk, Traditional Music","Atom Bomb Baby",2015-12-02,02:16,49,62,58,0,91,0,30,-6,G,4,2025-11-16,2Ua0LbHaSRmtvEsRHr9WR8,"O.L.D Ltd",9B,GB8XC1411086
19,"Its Been a Long, Long Time","Kitty Kallen",49,74,"","","Kitty Kallen's Coloring Book",1963-11-26,03:24,27,18,97,1,42,0,10,-12,C,4,2025-11-16,35IRrhDF5x53hRCcc1okcZ,"Universal Digital Enterprises",8B,DEZZ42173079
20,"Beyond the Sea","Bobby Darin",70,136,"big band, adult standards, swing music, doo-wop","Easy Listening, Jazz, Pop, R&B","That's All",1959-00-00,02:52,52,52,72,0,57,0,20,-7,D minor,4,2025-11-16,3KzgdYUlqV6TOG7JCmx2Wg,"Rhino Atlantic",7A,USEW10000026
21,"One","Metallica",76,103,"metal, thrash metal, rock, heavy metal, hard rock","Rock, Metal","…And Justice for All (Remastered)",1988-08-25,07:26,44,69,0,8,43,0,40,-9,G,3,2025-11-16,02xhLoVqpGmOqvolgrwM8w,"Blackened Recordings / Universal Music",9B,QMKHM1700138
22,"Before I Forget","Slipknot",78,135,"nu metal, metal, alternative metal, rap metal, heavy metal","Metal, Rock, Hip Hop","Vol. 3: The Subliminal Verses (Special Edition)",2004-00-00,04:38,29,97,2,0,35,10,80,-3,F#/G♭ minor,4,2025-11-16,6wqJeItl3Vc3az4ZicSQAB,"Roadrunner Records",11A,NLA320420824
23,"Duality","Slipknot",82,144,"nu metal, metal, alternative metal, rap metal, heavy metal","Metal, Rock, Hip Hop","Vol. 3: The Subliminal Verses (Special Edition)",2004-00-00,04:12,35,98,0,0,19,10,20,-3,E minor,4,2025-11-16,61mWefnWQOLf90gepjOCb3,"Roadrunner Records",9A,NLA320420785
24,"Psychosocial","Slipknot",79,135,"nu metal, metal, alternative metal, rap metal, heavy metal","Metal, Rock, Hip Hop","All Hope Is Gone (10th Anniversary)",2008-08-20,04:44,57,98,0,0,31,0,0,-4,D,4,2025-11-16,3RAFcUBrCNaboRXoP3S5t1,"Roadrunner Records",10B,NLA320886993
25,"Summer Wind - 2008 Remastered","Frank Sinatra",47,89,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Easy Listening, Jazz, Pop","Nothing But The Best (2008 Remastered)",2008-05-13,02:55,42,41,37,0,56,0,10,-9,G minor,4,2025-11-16,2vXVfpRRCin0m7b26He4aw,"FRANK SINATRA DIGITAL REPRISE",6A,USRH10723030
